name,uses_cleaned_llm
Gudcef Plus Tablet,Gudcef Plus Tablet is utilized for the treatment of various bacterial infections.
GB 29 Total Tablet,GB 29 Total Tablet is used for managing neuropathic pain.
Gluconorm-G 1 Tablet PR,Gluconorm-G 1 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glycomet 1gm Tablet SR,Glycomet 1gm Tablet SR is utilized for managing Type 2 diabetes mellitus.
Gluconorm G2 Tablet PR,Gluconorm G2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Grisovin-FP Tablet,Grisovin-FP Tablet is utilized for the treatment of fungal infections.
Glykind-M Tablet,Glykind-M Tablet is utilized for managing Type 2 diabetes mellitus.
Glycomet-GP 2 Forte Tablet SR,Glycomet-GP 2 Forte Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Gatiquin-P Eye Drop,Gatiquin-P Eye Drop is used for the treatment of bacterial eye infections.
Gluconorm SR 500mg Tablet,Gluconorm SR 500mg Tablet is utilized for managing Type 2 diabetes mellitus.
Goutnil 0.5mg Tablet,Goutnil 0.5mg Tablet is used for the treatment of gout.
Ginette 35 Tablet,Ginette 35 Tablet is utilized for the treatment of Polycystic ovarian syndrome.
Gabantin-NT Tablet,Gabantin-NT Tablet is utilized for managing neuropathic pain.
Gardasil Vaccine,"Gardasil Vaccine is used for the prevention of HPV-associated cancers such as cervical, vulvar, vaginal, and anal cancers, as well as for the protection against genital warts."
Genteal Gel,Genteal Gel is utilized for the relief of symptoms associated with dry eyes.
Gynaemed Vaginal Tablet,Gynaemed Vaginal Tablet is utilized for the treatment of fungal infections affecting the vagina.
GTN Sorbitrate CR 2.6 Tablet,GTN Sorbitrate CR 2.6 Tablet is used for the treatment of angina (a type of chest pain caused by reduced blood flow to the heart).
Glimestar-PM2 Tablet ER,Glimestar-PM2 Tablet ER is utilized for the management of Type 2 diabetes mellitus.
Gatilox DM Sterile Eye Drops,Gatilox DM Sterile Eye Drops are utilized for the treatment of bacterial eye infections.
Gabamax Gold Capsule,Gabamax Gold Capsule is utilized for managing neuropathic pain conditions.
Glyxambi 25mg/5mg Tablet,Glyxambi 25mg/5mg Tablet is used for the management of Type 2 diabetes mellitus.
Gemer 0.5 Tablet PR,Gemer 0.5 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gutron 2.5mg Tablet,Gutron 2.5mg Tablet is utilized for managing low blood pressure conditions.
Glucored Forte Tablet,Glucored Forte Tablet is used for the management of Type 2 diabetes mellitus.
Glimestar-M 2 Tablet PR,Glimestar-M 2 Tablet PR is used for the management of Type 2 diabetes mellitus.
Gutgermina Oral Suspension,Gutgermina Oral Suspension is used for the treatment of diarrhea.
Gabantin 100 Capsule,Gabantin 100 Capsule is used for the management of neuropathic pain and epileptic seizures.
Grilinctus  DX Syrup,Grilictus DX Syrup is used for the relief of dry cough symptoms.
Galvus 50mg Tablet,Galvus 50mg Tablet is used for the management of Type 2 diabetes mellitus.
Gestofit 200mg SR Tablet,Gestofit 200mg SR Tablet is utilized for hormone replacement therapy as well as addressing issues related to female infertility.
Glycomet Trio 1 Tablet SR,Glycomet Trio 1 Tablet SR is used for the management of Type 2 diabetes mellitus.
Gramocef-O 200mg Tablet DT,Gramocef-O 200mg Tablet DT is utilized for the treatment of various bacterial infections.
Gabapin ME Tablet,Gabapentin ME Tablet is used for managing neuropathic pain.
Gabamax NT Tablet,Gabamax NT Tablet is utilized for managing neuropathic pain.
Gynaset Tablet,"Gynaset Tablet is utilized for managing heavy menstrual bleeding, relieving pain associated with menstruation, addressing symptoms of endometriosis, and alleviating premenstrual syndrome."
Gravitor Tablet,"Gravitor Tablet is indicated for the treatment of Myasthenia gravis, paralytic ileus, and post-operative urinary retention."
Gutclear Syrup,Gutclear Syrup is used for the relief of constipation.
Gibtulio 25mg Tablet,Gibtulio 25mg Tablet is used for the management of Type 2 diabetes mellitus.
Gabagesic Gel,Gabapentin Gel is utilized for managing neuropathic pain.
Gemer P 2 Tablet ER,Gemer P 2 Tablet ER is used for the management of Type 2 diabetes mellitus.
Gemer DS 2 Tablet PR,Gemer DS 2 Tablet PR is used for the management of Type 2 diabetes mellitus.
Glucobay 50 Tablet,Glucobay 50 Tablet is used for the management of Type 2 diabetes mellitus.
Gluconorm G2 Forte Tablet PR,Gluconorm G2 Forte Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gabanyl NT 400mg/10mg Tablet,Gabanyl NT 400mg/10mg Tablet is used for managing neuropathic pain.
Glynase Tablet,Glynase Tablet is utilized for managing Type 2 diabetes mellitus.
Glimisave MV 3.3 Tablet SR,Glimisave MV 3.3 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Gudcef Dry Syrup,Gudcef Dry Syrup is used for the treatment of various bacterial infections.
Galvus Met 50mg/1000mg Tablet,Galvus Met 50mg/1000mg Tablet is used for the management of Type 2 diabetes mellitus.
Glucozone  Tablet,Glucozone Tablet is utilized for the management of Osteoarthritis.
Gabantin Plus Tablet,Gabantin Plus Tablet is utilized for managing neuropathic pain.
GP 1 Tablet,GP 1 Tablet is utilized for the management of Type 2 diabetes mellitus.
Gestofit 300mg SR Tablet,Gestofit 300mg SR Tablet is utilized for hormone replacement therapy and the management of female infertility issues.
Ganaton OD Capsule SR,Ganaton OD Capsule SR is used to relieve symptoms of heartburn and nausea.
Grandem Syrup,Grandem Syrup is utilized for the alleviation of nausea and vomiting that may occur as a result of undergoing chemotherapy treatments.
Glycomet 250 Tablet,Glycomet 250 Tablet is used for managing Type 2 diabetes mellitus.
Glyciphage SR 1gm Tablet,Glyciphage SR 1gm Tablet is utilized for the management of Type 2 diabetes mellitus.
Gabantip AT Tablet,Gabantip AT Tablet is utilized for managing neuropathic pain.
Gluconorm PG 2  Tablet PR,Gluconorm PG 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glycomet-GP 1 Forte Tablet SR,Glycomet-GP 1 Forte Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glucoryl-MV 2 Tablet SR,Glucoryl-MV 2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Golbi 300 Tablet,Golbi 300 Tablet is used for the treatment of Primary Biliary Cirrhosis and Gallbladder Stones.
Glycomet Trio 2/0.3 Tablet SR,Glycomet Trio 2/0.3 Tablet SR is used for the management of Type 2 diabetes mellitus.
Glyxambi 10mg/5mg Tablet,Glyxambi 10mg/5mg Tablet is used for the management of Type 2 diabetes mellitus.
Gudcef-CV Dry Syrup,Gudcef-CV Dry Syrup is utilized for the treatment of respiratory tract infections.
Glycomet-GP 3/850 Tablet PR,Glycomet-GP 3/850 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gluxit 10mg Tablet,Gluxit 10mg Tablet is used for the management of Type 2 diabetes mellitus.
Gestin Tablet,"Gestin Tablet is utilized for the management of premature labor, recurrent miscarriages, and associated complications."
GP 2 Tablet,GP 2 Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimiprex MF 1/500 Tablet PR,Glimiprex MF 1/500 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimestar-PM1 Tablet ER,Glimestar-PM1 Tablet ER is utilized for managing Type 2 diabetes mellitus.
GP 0.5 Tablet,GP 0.5 Tablet is used for the management of Type 2 diabetes mellitus.
Glevo 500 Tablet,Glevo 500 Tablet is used for the treatment of bacterial infections.
Glimestar-M2 Forte Tablet PR,Glimestar-M2 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Gabator NT 400mg/10mg Tablet,Gabator NT 400mg/10mg Tablet is utilized for managing neuropathic pain.
Glycomet Trio Forte 2 Tablet SR,Glycomet Trio Forte 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Glocin Gel,Glocin Gel is utilized for treating acne conditions.
Gris ODT Tablet,Gris ODT Tablet is utilized for the treatment of various fungal infections.
Gudcef -XL 200 New Tablet ER,Gudcef -XL 200 New Tablet ER is utilized for the treatment of various bacterial infections.
Glimisave MV 2 Tablet SR,Glimisave MV 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Glycolate 1 Tablet,Glycolate 1 Tablet is utilized for general anesthesia as well as the management of peptic ulcer disease.
Glucobay 25 Tablet,Glucobay 25 Tablet is used for managing Type 2 diabetes mellitus.
Gabantin Forte Tablet,Gabantin Forte Tablet is used for managing neuropathic pain conditions.
Gemfos Tablet,Gemfos Tablet is used for the treatment of osteoporosis.
Gaspaz DS Capsule,Gaspaz DS Capsule is utilized for the treatment of gastroesophageal reflux disease and peptic ulcer disease.
Gestofit 200 Capsule,Gestofit 200 Capsule is utilized for hormone replacement therapy and treatment of female infertility issues.
Glycohale-F Rotacap,Glycohale-F Rotacap is utilized for the management of chronic obstructive pulmonary disease (COPD).
Gudcef Drop,Gudcef Drop is utilized for treating various bacterial infections.
Gemcal Nasal Spray,Gemcal Nasal Spray is utilized for the treatment of post-menopausal osteoporosis and Paget's disease.
Glizid-MV Tablet SR,Glizid-MV Tablet SR is used for the management of Type 2 diabetes mellitus.
Geripod 8 Tablet,"Geripod 8 Tablet is used for the treatment of benign prostatic hyperplasia (BPH), a non-cancerous enlargement of the prostate gland in men."
Gabantin 300 Capsule,Gabantin 300 Capsule is utilized for managing neuropathic pain and epileptic seizures.
Glyciphage-G 1 Tablet PR,Glyciphage-G 1 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gabantip AT 100 Tablet,Gabantip AT 100 Tablet is used for managing neuropathic pain.
Gemvert Tablet,Gemvert Tablet is utilized for treating vertigo symptoms.
Gudcef 100mg Tablet DT,Gudcef 100mg Tablet DT is utilized for the treatment of various bacterial infections.
Gemer DS 1 Tablet PR,Gemer DS 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Grandem MD Tablet,Grandem MD Tablet is utilized for alleviating nausea and vomiting caused by chemotherapy treatments.
Glizid 40 Tablet,Glizid 40 Tablet is used for the management of Type 2 diabetes mellitus.
Genticyn 80mg Injection,Genticyn 80mg Injection is utilized for the treatment of various bacterial infections.
Geminor M 2 Tablet PR,Geminor M 2 Tablet PR is utilized for managing Type 2 diabetes mellitus.
GeneVac-B Adult Vaccine,GeneVac-B Adult Vaccine is used for the prevention of Hepatitis B infection in adults.
Gravol Tablet,Gravol Tablet is used to alleviate symptoms associated with allergic conditions as well as motion sickness.
Glimestar 1 Tablet,Glimestar 1 Tablet is utilized for the management of Type 2 diabetes mellitus.
Gentalene Plus Cream,Gentalene Plus Cream is utilized for treating various skin infections.
Gemer P 1 Tablet ER,Gemer P 1 Tablet ER is utilized for the management of Type 2 diabetes mellitus.
Gudcef-CV 100mg Tablet,Gudcef-CV 100mg Tablet is used for the treatment of respiratory tract infections.
Glimy 1 Tablet,Glimy 1 Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimp-M 2 Tablet,Glimp-M 2 Tablet is used for managing Type 2 diabetes mellitus.
Grilinctus-BM Tablet,Grilictus-BM Tablet is used for the treatment of cough symptoms.
Graniforce Syrup,Graniforce Syrup is utilized for managing nausea and vomiting caused by chemotherapy treatments.
Glycomet 850 SR Tablet,Glycomet 850 SR Tablet is used for the management of type 2 diabetes mellitus.
Glimy M 1 Tablet PR,Glimy M 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gabaneuron NT 400 Tablet,Gabaneuron NT 400 Tablet is used for managing neuropathic pain.
Glizid 80 Tablet,Glizid 80 Tablet is used for managing Type 2 diabetes mellitus.
Gluconorm SR 1gm Tablet,Gluconorm SR 1gm Tablet is used for the management of Type 2 diabetes mellitus.
Glimp-M 1 Tablet,Glimp-M 1 Tablet is used for the management of Type 2 diabetes mellitus.
Glimiprex MF 2/500 Tablet PR,Glimiprex MF 2/500 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimisave M 2 Tablet PR,Glimisave M 2 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gancigel Ophthalmic Gel,Ganciclovir Ophthalmic Gel is utilized for the treatment of Cytomegalovirus infections.
Gestone Injection,Gestone Injection is utilized for hormone replacement therapy and in the treatment of female infertility.
Glyciphage Tablet,Glyciphage Tablet is utilized for the management of Type 2 diabetes mellitus.
Glucoryl-M 2 Tablet PR,Glucoryl-M 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gramocef-CV Tablet,Gramocef-CV Tablet is utilized for the treatment of various bacterial infections.
Gabafix Gel,Gabafix Gel is utilized for managing neuropathic pain.
Gaspaz Capsule,Gaspaz Capsule is utilized for the treatment of gastroesophageal reflux disease and peptic ulcer disease.
Gluconorm-VG 2 Tablet SR,Gluconorm-VG 2 Tablet SR is utilized for managing Type 2 diabetes mellitus.
Gulfadryl Syrup,Gulfadryl Syrup is utilized for the relief of cough symptoms.
Gluconorm-G 1 Forte Tablet PR,Gluconorm-G 1 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimda-MV 2 Tablet SR,Glimda-MV 2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Glycomet-GP 4 Forte Tablet PR,Glycomet-GP 4 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gifaxin  400 Tablet,Gifaxin 400 Tablet is used for the treatment of both hepatic encephalopathy and infectious diarrhea.
Glykind  60 XR Tablet,Glykind 60 XR Tablet is utilized for the management of Type 2 diabetes mellitus.
Glizid -MR 60 Tablet,Glizid-MR 60 Tablet is used for managing Type 2 diabetes mellitus.
Glyciphage-VG2 Tablet SR,Glyciphage-VG2 Tablet SR is utilized for managing Type 2 diabetes mellitus.
Golbi SR 450 Tablet,Golbi SR 450 Tablet is used for the treatment of primary biliary cirrhosis and gallbladder stones.
Glemont-F Tablet,Glemont-F Tablet is utilized for alleviating symptoms of sneezing and a runny nose that are often associated with allergies.
Gabawin 25 Tablet,"Gabapentin 25 Tablet is used for managing neuropathic pain, treating epilepsy and seizures, as well as addressing symptoms of fibromyalgia."
Gemitrol NS Nasal Solution,Gemitrol NS Nasal Solution is utilized for the treatment of post-menopausal osteoporosis and Paget's disease.
Glucobay M50 Tablet,Glucobay M50 Tablet is used for the management of Type 2 diabetes mellitus.
Geminor MP 2 Tablet SR,Geminor MP 2 Tablet SR is utilized for managing Type 2 diabetes mellitus.
Gemer Forte 1 Tablet PR,Gemer Forte 1 Tablet PR is used for the management of Type 2 diabetes mellitus.
Gemer Forte 2 Tablet PR,Gemer Forte 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glucoryl-M 1 Tablet PR,Glucoryl-M 1 Tablet PR is indicated for the management of Type 2 diabetes mellitus.
GLZ Plus Tablet,GLZ Plus Tablet is used for the management of Type 2 diabetes mellitus.
Glucomol 0.5% Eye Drop,Glucomol 0.5% Eye Drop is utilized for the treatment of both glaucoma and ocular hypertension.
Glycomet Trio 1/0.3 Tablet SR,Glycomet Trio 1/0.3 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Goodmorn Tablet,Goodmorn Tablet is utilized for managing symptoms of nausea and vomiting during pregnancy.
Geriflo-D Tablet SR,Geriflo-D Tablet SR is utilized for the treatment of benign prostatic hyperplasia.
Gluconorm PG 1 Tablet PR,Gluconorm PG 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Graniforce -MD Tablet,Graniforce -MD Tablet is utilized for managing nausea and vomiting caused by chemotherapy treatment.
Glimisave M 1 Tablet PR,Glimisave M 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gibtulio 10mg Tablet,Gibtulio 10mg Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimestar-M1 Forte Tablet PR,Glimestar-M1 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gamascab Lotion,Gamascab Lotion is utilized for treating scabies.
Glizid-MR 30 Tablet,Glizid-MR 30 Tablet is used for the management of Type 2 diabetes mellitus.
Gliptagreat M 1000 Tablet,Gliptagreat M 1000 Tablet is utilized for the management of Type 2 diabetes mellitus.
Genericart Levocetirizine Dihydrochloride 5mg Tablet,Genericart Levocetirizine Dihydrochloride 5mg Tablet is utilized for managing various allergic conditions.
GB 29 1500mcg/75mg Tablet SR,GB 29 1500mcg/75mg Tablet SR is used for managing neuropathic pain.
Gerbisa Suppository,Gerbisa Suppository is utilized for the relief and management of constipation.
Glucoryl-MV1 Tablet SR,Glucoryl-MV1 Tablet SR is used for the management of Type 2 diabetes mellitus.
Glimy M 2 Tablet PR,Glimy M 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glytears Eye Drop,Glytears Eye Drop is utilized for treating dry eye conditions.
Geftinat 250mg Tablet,Geftinat 250mg Tablet is utilized for the treatment of non-small cell lung cancer.
Glycinorm-M 60 OD Tablet,Glycinorm-M 60 OD Tablet is used for the management of Type 2 diabetes mellitus.
Glimestar 2 Tablet,Glimestar 2 Tablet is used for managing Type 2 diabetes mellitus.
Globucel Solution for Infusion,Globucel Solution for Infusion is utilized for the management of immunoglobulin deficiencies.
Gluconorm PG 2 Forte Tablet SR,Gluconorm PG 2 Forte Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glaritus 100IU/ml Injection,Glaritus 100IU/ml Injection is utilized for the treatment of diabetes.
Glimisave MV 1 Tablet SR,Glimisave MV 1 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Geminor M2 Forte Tablet PR,Geminor M2 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Gabafix NT 75mg/10mg/1500mcg Tablet,Gabafix NT 75mg/10mg/1500mcg Tablet is utilized for managing neuropathic pain.
Gestakind-SR Tablet,"Gestakind-SR Tablet is utilized for the management of premature labor, peripheral vascular disease, and in certain cases, to induce or prolong labor."
Glutaup 500mg Tablet,Glutaup 500mg Tablet is used for the treatment of liver diseases.
Glyciphage-G 2 Tablet PR,Glyciphage-G 2 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Glimy 2 Tablet,Glimy 2 Tablet is utilized for the management of Type 2 diabetes mellitus.
Gabapax L Gel,Gabapax L Gel is utilized for managing neuropathic pain.
Glycolate 2 Tablet,Glycolate 2 Tablet is used for general anaesthesia and the management of peptic ulcer disease.
GPM-SR 2 Tablet,GPM-SR 2 Tablet is utilized for the management of Type 2 diabetes mellitus.
Glycigon-M Tablet,Glycigon-M Tablet is utilized for the management of Type 2 diabetes mellitus.
Grenil-F 10 Tablet,Grenil-F 10 Tablet is used for the management of migraines.
GB 29 Plus Tablet,GB 29 Plus Tablet is utilized for the management of neuropathic pain conditions.
Gabapin 400 Capsule,Gabapentin 400 Capsule is utilized for the management of neuropathic pain and epileptic seizures.
Glucored Tablet,Glucored Tablet is utilized for the management of Type 2 diabetes mellitus.
Glycomet Trio Forte 1 Tablet SR,Glycomet Trio Forte 1 Tablet SR is utilized for managing Type 2 diabetes mellitus.
Gabamax 75mg Capsule,Gabamax 75mg Capsule is utilized for managing neuropathic pain.
Gibtulio Met 12.5mg/500mg Tablet,Gibtulio Met 12.5mg/500mg Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimp-MP 2 Tablet SR,Glimp-MP 2 Tablet SR is used for managing Type 2 diabetes mellitus.
Glyciphage-PG2 Tablet SR,Glyciphage-PG2 Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glimy M V2 Tablet SR,Glimy M V2 Tablet SR is used for the management of Type 2 diabetes mellitus.
Gemer DS 3 Tablet PR,Gemer DS 3 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gemcal -Kit,Gemcal-Kit is utilized for the treatment of Osteoporosis.
Gudcef XL Tablet,Gudcef XL Tablet is utilized for treating a range of bacterial infections.
Geminor M1 Forte Tablet PR,Geminor M1 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gluconorm-G 0.5mg/500mg Tablet PR,Gluconorm-G 0.5mg/500mg Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glycoseptol Antiseptic Gargle &amp; Mouth Wash,Glycoseptol Antiseptic Gargle & Mouthwash is utilized for the treatment of mouth infections.
Gabamax SR 75 Tablet,Gabamax SR 75 Tablet is utilized for managing neuropathic pain.
Goodova 50 Capsule,Goodova 50 Capsule is utilized for the treatment of female infertility.
Gluconorm-G 3 Forte Tablet PR,Gluconorm-G 3 Forte Tablet PR is utilized for managing Type 2 diabetes mellitus.
Galvus Met 50mg/850mg Tablet,Galvus Met 50mg/850mg Tablet is utilized for the management of Type 2 diabetes mellitus.
Gluconorm-G 4 Forte Tablet PR,Gluconorm-G 4 Forte Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gabapin SR 450 Tablet,Gabapentin SR 450 Tablet is used for managing neuropathic pain and treating epileptic seizures.
Gabawin 50 Tablet,"Gabapentin 50 Tablet is utilized for managing neuropathic pain, epileptic seizures, and symptoms of fibromyalgia."
Glimda 1 Tablet,Glimda 1 Tablet is used for the management of Type 2 diabetes mellitus.
Grilinctus  Paediatric Syrup,Grilinctus Pediatric Syrup is used for the relief of symptoms associated with common colds in children.
Glucobay M 25 Tablet,Glucobay M 25 Tablet is used for the management of Type 2 diabetes mellitus.
Glotret 20 Tablet,Glotret 20 Tablet is used for the treatment of acne.
Glospor Capsule,Glospor Capsule is used for treating various fungal infections.
Gflotas D Eye Drop,Gflotas D Eye Drop is utilized for the treatment of bacterial eye infections.
Gastractiv 10mg Tablet,"Gastractiv 10mg Tablet is utilized for managing symptoms such as indigestion, nausea, and vomiting."
Glimisave MV2 Forte Tablet SR,Glimisave MV2 Forte Tablet SR is utilized for managing Type 2 diabetes mellitus.
Glimda 2 Tablet,Glimda 2 Tablet is used for the management of Type 2 diabetes mellitus.
Gabamax NT 50mg/10mg Tablet,Gabamax NT 50mg/10mg Tablet is used for the management of neuropathic pain.
Glyciphage 250 Tablet,Glyciphage 250 Tablet is used for the management of Type 2 diabetes mellitus.
Gravidol Tablet,"Gravidol Tablet is utilized for the management of hypertension, angina, and prevention of heart attacks and strokes."
Glz XR Tablet,Glz XR Tablet is utilized for the management of Type 2 diabetes mellitus.
Glimison-M 2 Tablet PR,Glimison-M 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glimisave M2 Forte Tablet PR,Glimisave M2 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Glycomet-GP 0.5 Forte Tablet PR,Glycomet-GP 0.5 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Glospor-DS Capsule,Glospor-DS Capsule is used for the treatment of fungal infections.
Glycomet 850 Tablet,Glycomet 850 Tablet is used for the management of Type 2 diabetes mellitus.
Genericart Metformin Hydrochloride 500mg Tablet,Genericart Metformin Hydrochloride 500mg Tablet is used for the treatment of Type 2 diabetes mellitus.
Grocapix M 5% Solution,Grocapix M 5% Solution is utilized for addressing hair loss issues.
Geriflo  Tablet SR,Geriflo Tablet SR is utilized for the treatment of benign prostatic hyperplasia (BPH).
Gifaxin  100 mg Syrup,Gifaxin 100 mg Syrup is used for the treatment of infectious diarrhea.
Glimet DS Tablet,Glimet DS Tablet is utilized for managing Type 2 diabetes mellitus.
Ganfort  Eye Drop,Ganfort Eye Drops are utilized for the management of Glaucoma and Ocular Hypertension.
Glycomet-GP 1/850 Tablet PR,Glycomet-GP 1/850 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Gepride M1 Tablet PR,Gepride M1 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gluformin 500 Tablet,Gluformin 500 Tablet is used for the management of Type 2 diabetes mellitus.
Goodmorn Plus Tablet,Goodmorn Plus Tablet is utilized for managing nausea and vomiting during pregnancy.
Glucoryl-MV 2/0.3 Tablet SR,Glucoryl-MV 2/0.3 Tablet SR is used for the management of Type 2 diabetes mellitus.
Gudpres-AM 50 Tablet PR,Gudpres-AM 50 Tablet PR is used for the treatment of hypertension (high blood pressure).
Gabawin 75 Tablet,"Gabapentin 75 Tablet is used for the management of neuropathic pain, epileptic seizures, and fibromyalgia."
Gudpres-XL 50 Capsule,"Gudpres-XL 50 Capsule is utilized for the management of various cardiovascular conditions such as hypertension, angina, arrhythmia, heart attack, and migraines."
Gudgesic TH 100mg/4mg Tablet,Gudgesic TH 100mg/4mg Tablet is used for the relief of pain associated with muscle spasms.
Gabacure Gel,Gabacure Gel is utilized for managing neuropathic pain.
Glinil-M  Tablet,Glinil-M Tablet is used for the management of Type 2 diabetes mellitus.
Gerbisa L Syrup,Gerbisa L Syrup is utilized for managing constipation conditions.
Glychek-M Forte Tablet,Glychek-M Forte Tablet is utilized for the management of Type 2 diabetes mellitus.
Gluvilda 50 Tablet,Gluvilda 50 Tablet is used for the management of Type 2 diabetes mellitus.
Grilinctus-BM Paediatric Syrup,Grilinctus-BM Paediatric Syrup is utilized for the relief of cough symptoms in children.
Genxvast F Tablet,Genxvast F Tablet is used for managing high cholesterol levels and preventing potential heart attacks.
Glotret 10 Tablet,Glotret 10 Tablet is utilized for the treatment of acne.
Gluconorm-VG 1 Tablet SR,Gluconorm-VG 1 Tablet SR is used for the management of Type 2 diabetes mellitus.
Gudpres-XL 25 Capsule,"Gudpres-XL 25 Capsule is utilized for the management of conditions such as hypertension, angina, arrhythmia, heart attack, and migraines."
Glimiprex MF Forte 2 Tablet PR,Glimiprex MF Forte 2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glycinorm -OD 60 Tablet MR,Glycinorm -OD 60 Tablet MR is utilized for managing Type 2 diabetes mellitus.
Grandem Injection,Grandem Injection is utilized for the management of nausea and vomiting that occur as a result of chemotherapy treatment.
Gesterol 200mg Tablet SR,Gesterol 200mg Tablet SR is used for hormone replacement therapy and the management of female infertility.
Gemidro Tablet,Gemidro Tablet is used for the treatment of postmenopausal osteoporosis.
Gabapin Plus 100 Tablet,Gabapentin Plus 100 Tablet is used for managing neuropathic pain.
Gaba 300 Capsule,Gaba 300 Capsule is utilized for managing neuropathic pain and treating conditions related to epilepsy/seizures.
Ginlac-V Vaginal Tablet,Ginlac-V Vaginal Tablet is utilized for the treatment of syndromic vaginal discharge.
Glador M1 Tablet PR,Glador M1 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Gluconorm P 15 Tablet ER,Gluconorm P 15 Tablet ER is utilized for the management of Type 2 diabetes mellitus.
Gerbisa Children Suppository,Gerbisa Children Suppository is utilized for treating constipation in children.
Glaritus 100IU/ml Injection 3ml,Glaritus 100IU/ml Injection 3ml is utilized for the treatment of diabetes.
Glipon 20mg Tablet,Glipizide 20mg Tablet is utilized for managing Type 2 diabetes mellitus.
Glyciphage-G 2 Forte Tablet PR,Glyciphage-G 2 Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Glador M2 Tablet PR,Glador M2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Grilinctus-BM Syrup Sugar Free,Grilinctus-BM Syrup Sugar Free is utilized for the relief of symptoms associated with coughs.
Gepride M2 Tablet PR,Gepride M2 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Glynase XL 10 Tablet,Glynase XL 10 Tablet is used for the management of Type 2 diabetes mellitus.
Glycinorm 40 Tablet,Glycinorm 40 Tablet is utilized for the management of Type 2 diabetes mellitus.
Glivec 400mg Tablet,Glivec 400mg Tablet is used for the treatment of certain types of cancer.
Gluformin G 2 New Tablet PR,Gluformin G 2 New Tablet PR is used for the management of Type 2 diabetes mellitus.
Glimisave MV 3.3 F Tablet SR,Glimisave MV 3.3 F Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Glycinorm-M 30 OD Tablet ER,Glycinorm-M 30 OD Tablet ER is used for the management of Type 2 diabetes mellitus.
Glycomet-GP 2/850 Tablet PR,Glycomet-GP 2/850 Tablet PR is used for managing Type 2 diabetes mellitus.
Glevo 750 Tablet,Glevo 750 Tablet is used for the treatment of various bacterial infections.
Glycinorm Total 60 Tablet SR,Glycinorm Total 60 Tablet SR is used for the management of Type 2 diabetes mellitus.
Goodova-L 5mg Tablet,Goodova-L 5mg Tablet is utilized for the treatment of breast cancer as well as infertility issues resulting from anovulation.
